Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 10 a suma 46
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 11
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 3 a suma 17
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 2

<0,2> 0.1 9 9 3
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 3
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 4 a suma 29
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 22
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 5
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 10
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 14
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 9
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 10
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 4 a suma 30
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 7
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 7 a suma 37
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 5 a suma 24
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 11
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 5 a suma 58
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 11
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 10
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 3 a suma 21
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 2 a suma 7
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 3 a suma 27
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 3 a suma 12
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 11 a suma 133
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 14
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 15 a suma 107
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 2
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 5 a suma 18
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 8

<0,2> 0.1 3 3 6
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 7 a suma 45
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 22
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 3
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 5 a suma 26
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 9
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 9
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 8
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 4
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 5 a suma 18
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 28
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 17
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 20
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 10 a suma 55
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 2
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 6 a suma 43
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 8
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 3
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 6 a suma 19
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 3 a suma 9
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 7
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 4 a suma 9
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 6 a suma 14
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 16
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 5
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 2

<0,2> 0.1 6 3 6
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 7 a suma 13
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 7
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 4 a suma 32
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 3 a suma 20
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 3
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 10
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 4 a suma 53
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 4
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 10
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 8
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 12
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 1
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 6 a suma 55
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 12 a suma 146
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 4 a suma 15
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 6
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 3 a suma 8
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 6
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 4 a suma 21
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 9
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 2 a suma 15
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 7
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 3 a suma 6

<0,2> 0.1 9 3 6
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 5 a suma 13
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 3 a suma 11
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 1
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 4 a suma 15
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 3
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 7
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 15
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 7
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 2
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 24
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 6 a suma 19
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 8 a suma 21
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 9
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 9
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 9
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 7 a suma 51
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 3 a suma 10
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 8 a suma 27
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 4 a suma 13
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 24
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 26
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 4
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 4 a suma 16
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 12 a suma 29
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 3 a suma 14

<0,2> 0.1 3 6 6
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 6 a suma 18
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 3 a suma 19
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 4 a suma 14
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 18 a suma 44
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 18 a suma 41
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 7 a suma 13
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 5
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 9
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 12
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 8
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 23
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 0 a suma 0
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 4 a suma 9
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 6 a suma 21
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 8 a suma 89
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 12 a suma 26
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 2 a suma 6
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 5
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 5
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 16
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 5
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 2 a suma 11
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 5 a suma 9
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 12 a suma 52
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 13
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 13

<0,2> 0.1 6 6 6
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 4 a suma 12
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 10 a suma 48
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 4 a suma 11
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 11 a suma 16
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 9 a suma 34
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 3 a suma 13
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 7
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 14
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 17
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 6 a suma 39
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 16
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 6 a suma 23
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 4 a suma 48
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 15 a suma 33
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 16
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 14 a suma 48
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 15 a suma 95
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 4 a suma 22
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 6 a suma 64
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 3 a suma 8
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 3
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 14
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 15
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 3 a suma 20
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 11
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 8 a suma 32

<0,2> 0.1 9 6 6
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 2
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 9
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 4
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 5 a suma 19
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 22
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 10
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 10 a suma 40
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 6 a suma 81
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 4
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 5 a suma 20
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 5 a suma 32
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 4 a suma 12
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 11
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 3
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 5 a suma 41
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 5 a suma 14
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 5 a suma 34
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 1
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 5 a suma 29
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 3
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 23
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 7 a suma 31
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 4 a suma 33
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 2 a suma 10
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 11 a suma 60
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 12
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 12

<0,2> 0.1 3 9 6
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 2
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 4 a suma 23
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 2
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 17
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 7
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 12 a suma 57
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 6
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 10 a suma 67
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 5 a suma 34
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 19 a suma 99
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 4 a suma 13
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 9
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 6
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 9
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 6 a suma 34
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 2 a suma 9
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 4 a suma 15
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 4 a suma 14
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 16
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 8 a suma 10
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 3 a suma 17
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 18 a suma 75
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 23
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 8
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 12
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 3 a suma 9
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 4 a suma 9

<0,2> 0.1 6 9 6
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 18 a suma 53
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 1
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 7
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 5 a suma 19
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 3
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 7 a suma 28
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 8 a suma 33
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 8
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 21
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 10 a suma 16
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 8
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 17
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 6 a suma 20
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 5
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 6 a suma 23
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 5
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 1
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 5
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 3 a suma 12
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 5 a suma 20
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 2 a suma 13
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 2
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 6 a suma 29
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 8
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 16

<0,2> 0.1 9 9 6
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 4 a suma 33
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 15 a suma 22
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 6
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 25
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 13 a suma 89
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 7 a suma 38
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 9 a suma 31
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 9
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 6
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 7 a suma 43
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 15
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 7 a suma 38
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 4 a suma 27
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 16
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 9 a suma 30
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 6
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 7 a suma 21
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 3 a suma 14
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 20 a suma 84
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 5
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 8 a suma 19
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 2 a suma 11
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 2 a suma 10
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 4 a suma 17
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 5 a suma 17
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 17 a suma 46
